Term,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,International,Unreported Race,Illinois,Non-Illinois,Part time,Full time,Hawaiian/Pacific Isl,Multiracial,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian
fa05,Undergraduate ,30449,16206,14211,32,20593,3840,1994,1942,87,1440,553,27082,3367,537,29912,,,,,,
fa05,Graduate ,9032,4901,4127,4,4273,599,364,289,25,3349,133,2933,6099,642,8390,,,,,,
fa05,Professional ,1029,472,556,1,661,133,40,55,5,18,117,782,247,35,994,,,,,,
sp05,Undergraduate ,27754,14505,13231,18,18892,3541,1876,1733,75,1207,430,24649,3105,776,26978,,,,,,
sp05,Graduate ,8691,4846,3844,1,4092,573,307,268,21,3317,113,2866,5825,706,7985,,,,,,
sp05,Professional ,1060,475,583,2,739,123,49,56,4,15,74,849,211,54,1006,,,,,,
su05,Undergraduate ,5148,2810,2335,3,2913,800,598,364,12,368,93,4296,852,2444,2704,,,,,,
su05,Graduate ,4008,2199,1804,5,1965,299,161,139,10,1366,68,1316,2692,1380,2628,,,,,,
su05,Professional ,199,94,105,0,133,29,10,12,2,6,7,161,38,79,120,,,,,,
fa06,Undergraduate ,30930,16360,14532,38,20628,3830,2118,2118,94,1554,588,27581,3349,557,30373,,,,,,
fa06,Graduate ,9205,5056,4147,2,4291,586,360,293,21,3503,151,2979,6226,605,8600,,,,,,
fa06,Professional ,1045,483,561,1,580,122,38,53,5,24,223,757,288,37,1008,,,,,,
sp06,Undergraduate ,28847,15196,13619,32,19582,3631,1886,1836,81,1320,511,25770,3077,706,28141,,,,,,
sp06,Graduate ,8594,4657,3932,5,4088,555,350,269,23,3205,104,2819,5775,683,7911,,,,,,
sp06,Professional ,1013,463,549,1,666,128,39,55,4,18,103,772,241,52,961,,,,,,
su06,Undergraduate ,5077,2774,2297,6,2861,782,572,381,19,359,103,4274,803,2432,2645,,,,,,
su06,Graduate ,4149,2250,1897,2,2024,322,173,136,11,1403,80,1349,2800,1281,2868,,,,,,
su06,Professional ,183,81,102,0,134,15,8,12,2,3,9,146,37,48,135,,,,,,
fa07,Undergraduate ,30688,16228,14417,43,20142,3949,2053,2128,83,1689,644,27378,3310,484,30204,,,,,,
fa07,Graduate ,9225,4992,4230,3,4293,588,368,319,20,3485,152,3061,6164,650,8575,,,,,,
fa07,Professional ,1010,433,577,0,607,91,46,42,4,26,194,741,269,22,988,,,,,,
sp07,Undergraduate ,29285,15384,13862,39,19649,3609,1972,1995,84,1433,543,26259,3026,684,28601,,,,,,
sp07,Graduate ,8826,4867,3958,1,4109,560,351,285,21,3358,142,2923,5903,619,8207,,,,,,
sp07,Professional ,1022,470,551,1,571,121,36,54,5,24,211,757,265,38,984,,,,,,
su07,Undergraduate ,5098,2744,2346,8,2912,703,607,387,18,367,104,4367,731,2276,2822,,,,,,
su07,Graduate ,4389,2444,1942,3,2017,265,195,157,13,1626,116,1417,2972,1491,2898,,,,,,
su07,Professional ,168,63,105,0,101,13,9,12,0,8,25,133,35,36,132,,,,,,
fa08,Undergraduate ,31173,16634,14507,32,19820,4154,2093,2127,90,2225,664,27203,3970,514,30659,,,,,,
fa08,Graduate ,9290,5078,4205,7,4333,608,381,331,23,3477,137,3090,6200,595,8695,,,,,,
fa08,Professional ,1032,417,615,0,614,73,50,46,7,24,218,756,276,17,1015,,,,,,
sp08,Undergraduate ,29139,15308,13796,35,19231,3774,1896,2008,85,1552,593,26089,3050,632,28507,,,,,,
sp08,Graduate ,8990,4904,4081,5,4216,584,381,301,17,3340,151,3055,5935,608,8382,,,,,,
sp08,Professional ,991,423,568,0,606,90,46,37,5,22,185,741,250,26,965,,,,,,
su08,Undergraduate ,5064,2720,2340,4,2735,771,642,429,14,371,102,4266,798,2220,2844,,,,,,
su08,Graduate ,4366,2340,2024,2,2036,276,219,165,10,1572,88,1511,2855,1407,2959,,,,,,
su08,Professional ,196,69,127,0,119,9,16,7,2,8,35,139,57,74,122,,,,,,
fa09,Undergraduate ,31209,16704,14470,35,19182,4135,2049,2106,85,2774,878,26642,4567,570,30639,,,,,,
fa09,Graduate ,9630,5261,4365,4,4370,629,372,321,23,3689,226,3154,6476,596,9034,,,,,,
fa09,Professional ,1079,451,626,2,696,70,51,43,6,28,185,749,330,20,1059,,,,,,
sp09,Undergraduate ,29721,15790,13903,28,18976,3944,1989,2025,87,2105,595,26005,3716,643,29078,,,,,,
sp09,Graduate ,9050,4975,4069,6,4225,595,378,315,21,3366,150,3061,5989,646,8404,,,,,,
sp09,Professional ,1015,407,607,1,615,72,48,44,7,24,205,753,262,17,998,,,,,,
su09,Undergraduate ,4784,2666,2110,8,2532,713,603,406,15,392,123,4030,754,2034,2750,,,,,,
su09,Graduate ,4472,2421,2046,5,2061,289,208,158,14,1656,86,1445,3027,1468,3004,,,,,,
su09,Professional ,192,76,116,0,107,12,14,6,4,14,35,131,61,81,111,,,,,,
fa10,Undergraduate ,31252,17035,14189,28,18879,4068,1784,2144,45,3484,233,25898,5354,639,30613,55.0,560.0,1962.0,187.0,,
fa10,Graduate ,9584,5246,4335,3,4310,641,358,330,8,3715,112,3084,6500,549,9035,3.0,107.0,404.0,62.0,,
fa10,Professional ,1113,466,645,2,835,77,44,67,4,24,41,744,369,16,1097,1.0,20.0,49.0,9.0,,
sp10,Undergraduate ,29653,15753,13869,31,18330,3934,1904,1986,70,2652,777,25366,4287,635,29018,,,,,,
sp10,Graduate ,9325,5090,4229,6,4266,614,363,301,23,3555,203,3123,6202,602,8723,,,,,,
sp10,Professional ,1060,440,619,1,691,69,47,42,6,27,178,756,304,12,1048,,,,,,
su10,Undergraduate ,4536,2579,1952,5,2343,682,469,338,4,585,22,3606,930,1823,2713,11.0,82.0,496.0,31.0,,
su10,Graduate ,4563,2461,2100,2,2054,286,204,190,8,1714,50,1463,3100,1493,3070,2.0,55.0,236.0,34.0,,
su10,Professional ,187,74,113,0,147,9,6,7,0,7,9,131,56,63,124,0.0,2.0,7.0,0.0,,
fa11,Undergraduate ,31932,17481,14433,18,18569,4284,1758,2237,36,4154,210,25625,6307,622,31310,53.0,631.0,1965.0,189.0,,
fa11,Graduate ,9551,5195,4353,3,4128,634,344,361,18,3831,88,2995,6556,558,8993,5.0,142.0,392.0,76.0,,
fa11,Professional ,1123,465,657,1,787,73,54,82,3,24,78,722,401,13,1110,1.0,21.0,61.0,9.0,,
sp11,Undergraduate ,29838,16100,13716,22,18027,3882,1665,2050,39,3332,250,24743,5095,759,29079,44.0,549.0,1834.0,183.0,,
