Term,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Part time,Full time
fa17,Undergraduate ,33624,18345,15267,12,15061,6053,1973,3748,16,23,1017,5569,164,2407,271,149,6869,24595,9029,1011,32613
fa17,Graduate ,13210,7173,6028,9,5009,1048,500,633,9,6,228,5451,326,612,93,23,1341,3475,9735,1756,11454
fa17,Professional ,992,352,640,0,708,70,26,58,0,0,23,64,43,33,7,0,89,558,434,1,991
sp17,Undergraduate ,31833,17352,14481,0,14779,5593,1815,3309,19,22,952,5201,143,2193,280,131,6352,23409,8424,1470,30363
sp17,Graduate ,11739,6349,5382,8,4645,853,418,535,14,5,195,4777,297,508,89,21,1094,3368,8371,1458,10281
sp17,Professional ,970,329,641,0,683,70,29,52,1,0,18,59,58,38,5,2,86,568,402,13,957
su17,Undergraduate ,6504,3561,2940,3,2820,1076,389,493,6,1,210,1419,90,497,54,24,1239,4195,2309,3660,2844
su17,Graduate ,6170,3247,2918,5,2617,513,288,346,8,3,109,2094,192,354,48,12,666,1821,4349,2498,3672
su17,Professional ,177,48,129,0,132,7,4,9,0,0,1,15,9,4,0,0,8,115,62,59,118
fa18,Undergraduate ,33673,18203,15450,20,14783,6242,2005,4003,17,29,1107,5270,217,2473,299,190,7163,24977,8696,916,32757
fa18,Graduate ,14672,8091,6561,20,5546,1378,598,821,7,8,264,5447,603,751,123,23,1849,3737,10935,2282,12390
fa18,Professional ,994,329,663,2,712,84,19,78,1,0,24,49,27,26,11,0,103,534,460,7,987
sp18,Undergraduate ,31859,17256,14587,16,14327,5779,1863,3530,16,20,961,5043,320,2263,275,139,6555,23399,8460,1576,30283
sp18,Graduate ,12979,7186,5782,11,5053,1153,505,667,7,4,232,4958,400,628,92,23,1525,3484,9495,1948,11031
sp18,Professional ,975,336,639,0,711,69,26,58,0,0,23,47,41,33,7,0,88,565,410,15,960
su18,Undergraduate ,6249,3349,2895,5,2579,1033,442,539,4,9,197,1329,117,525,52,32,1201,3986,2263,3442,2807
su18,Graduate ,7081,3863,3207,11,2921,701,332,427,4,3,122,2237,334,407,55,13,967,1917,5164,3087,3994
su18,Professional ,233,74,155,4,157,26,6,15,0,0,5,14,10,7,2,0,30,117,116,59,174
