Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,International,Unreported Race,Illinois,Non-Illinois,Part time,Full time
120061,KL ,"Agr, Cons, Env Sci ",Graduate ,453,187,266,0,252,28,8,5,0,160,0,190,263,33,420
120061,KL ,"Agr, Cons, Env Sci ",Undergraduate ,2156,913,1240,3,1805,134,84,74,1,31,27,2083,73,21,2135
120061,KM ,Business ,Graduate ,687,408,276,3,236,66,13,13,1,328,30,287,400,17,670
120061,KM ,Business ,Undergraduate ,2938,1734,1201,3,1912,431,138,173,5,239,40,2512,426,110,2828
120061,KN ,Education ,Graduate ,762,214,547,1,352,34,103,46,5,206,16,445,317,179,583
120061,KN ,Education ,Undergraduate ,705,48,656,1,577,44,29,37,4,6,8,687,18,3,702
120061,KP ,Engineering ,Graduate ,2212,1842,370,0,798,181,25,35,4,1157,12,414,1798,107,2105
120061,KP ,Engineering ,Undergraduate ,4625,3963,655,7,3033,850,88,178,8,369,99,3618,1007,176,4449
120061,KR ,Fine & Applied Arts ,Graduate ,788,364,423,1,480,47,24,26,4,195,12,304,484,62,726
120061,KR ,Fine & Applied Arts ,Undergraduate ,1835,850,985,0,1421,162,56,83,3,73,37,1618,217,50,1785
120061,KS ,Graduate College ,Graduate ,5,1,4,0,3,1,1,0,0,0,0,3,2,5,0
120061,KT ,Communications ,Graduate ,101,39,62,0,56,5,10,5,1,24,0,39,62,6,95
120061,KT ,Communications ,Undergraduate ,634,196,438,0,436,54,54,58,3,17,12,584,50,14,620
120061,KU ,Law ,Graduate ,42,16,26,0,1,1,2,0,0,36,2,6,36,0,42
120061,KU ,Law ,Professional ,612,372,239,1,359,114,36,48,3,16,36,433,179,50,562
120061,KV ,Liberal Arts & Sci ,Graduate ,2544,1337,1207,0,1246,143,68,99,5,966,17,498,2046,110,2434
120061,KV ,Liberal Arts & Sci ,Undergraduate ,14077,6704,7356,17,8990,1879,1219,1110,48,566,265,12903,1174,285,13792
120061,KY ,Applied Life Studies ,Graduate ,222,68,154,0,147,9,23,5,0,37,1,133,89,18,204
120061,KY ,Applied Life Studies ,Undergraduate ,1634,566,1067,1,1201,70,211,111,9,18,14,1542,92,39,1595
120061,LC ,Veterinary Medicine ,Graduate ,63,21,42,0,28,2,4,2,0,25,2,22,41,8,55
120061,LC ,Veterinary Medicine ,Professional ,401,91,310,0,307,14,3,7,1,2,67,339,62,2,399
120061,LE ,Institute of Aviation ,Graduate ,5,2,3,0,4,1,0,0,0,0,0,3,2,0,5
120061,LE ,Institute of Aviation ,Undergraduate ,242,221,21,0,206,7,7,12,0,1,9,223,19,7,235
120061,LG ,Labor & Industrial Relns ,Graduate ,120,45,75,0,64,10,13,7,1,23,2,73,47,5,115
120061,LL ,School of Social Work ,Graduate ,252,14,238,0,179,6,39,13,1,9,5,220,32,12,240
120061,LN ,Continuing Education ,Graduate ,91,34,57,0,65,9,7,8,0,0,2,17,74,78,13
120061,LP ,Library & Info Sci ,Graduate ,247,65,182,0,177,12,10,5,1,39,3,165,82,43,204
120061,NB ,Provost & VC Acad Affairs ,Undergraduate ,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0
