Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,Illinois,Non-Illinois,Part time,Full time
120121,KL ,"Agr, Cons, Env Sci ",Graduate ,520,265,255,0,269,29,12,7,1,0,3,197,2,12,1,185,335,25,495
120121,KL ,"Agr, Cons, Env Sci ",Undergraduate ,2369,1046,1322,1,1707,178,113,141,4,1,42,173,10,124,20,2131,238,103,2266
120121,KM ,Business ,Graduate ,1079,618,460,1,355,93,35,25,0,1,11,542,17,39,6,456,623,7,1072
120121,KM ,Business ,Undergraduate ,2829,1604,1225,0,1607,434,102,182,2,3,37,453,9,113,8,2174,655,77,2752
120121,KN ,Education ,Graduate ,633,184,449,0,291,36,113,58,3,0,13,117,2,130,10,387,246,123,510
120121,KN ,Education ,Undergraduate ,642,49,592,1,486,58,21,44,1,1,13,17,1,24,5,613,29,6,636
120121,KP ,Engineering ,Graduate ,2420,1953,466,1,721,159,14,55,2,0,32,1421,16,19,13,426,1994,73,2347
120121,KP ,Engineering ,Undergraduate ,6077,5125,950,2,3085,1059,100,260,4,9,128,1401,31,115,26,3804,2273,281,5796
120121,KR ,Fine & Applied Arts ,Graduate ,792,390,401,1,421,37,20,45,2,0,23,239,5,25,12,286,506,97,695
120121,KR ,Fine & Applied Arts ,Undergraduate ,1655,750,904,1,1047,169,82,127,2,5,32,178,13,93,9,1338,317,48,1607
120121,KS ,Graduate College ,Graduate ,26,9,17,0,18,4,2,1,0,0,0,1,0,2,0,21,5,22,4
120121,KT ,Media ,Graduate ,86,30,56,0,23,6,6,7,0,0,4,39,1,10,2,24,62,5,81
120121,KT ,Media ,Undergraduate ,1105,352,753,0,729,100,90,78,1,1,24,78,4,97,10,955,150,20,1085
120121,KU ,Law ,Graduate ,97,37,60,0,0,2,1,0,0,1,0,93,0,1,0,2,95,0,97
120121,KU ,Law ,Professional ,627,364,263,0,405,59,47,59,2,1,15,21,18,52,6,336,291,1,626
120121,KV ,Liberal Arts & Sci ,Graduate ,2351,1185,1166,0,1085,162,54,104,7,2,32,874,31,64,20,442,1909,62,2289
120121,KV ,Liberal Arts & Sci ,Undergraduate ,11086,5500,5578,8,6228,1587,772,833,12,22,235,1322,75,878,76,9283,1803,330,10756
120121,KW ,General Studies ,Undergraduate ,2415,1374,1041,0,1378,332,164,247,2,5,50,229,8,189,14,2082,333,5,2410
120121,KY ,Applied Health Sci ,Graduate ,259,89,170,0,159,18,20,8,0,0,5,47,2,23,2,170,89,11,248
120121,KY ,Applied Health Sci ,Undergraduate ,2063,686,1377,0,1373,204,199,193,6,6,41,32,9,214,15,1950,113,42,2021
120121,LC ,Veterinary Medicine ,Graduate ,61,22,39,0,39,5,1,4,0,0,0,11,1,1,0,21,40,5,56
120121,LC ,Veterinary Medicine ,Professional ,488,97,390,1,381,15,6,23,1,0,6,1,55,9,2,387,101,13,475
120121,LE ,Institute of Aviation ,Undergraduate ,87,78,9,0,70,7,2,5,0,0,0,2,1,2,0,78,9,10,77
120121,LG ,Labor & Empl. Rel ,Graduate ,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
120121,LG ,Labor & Empl. Rel. ,Graduate ,159,45,114,0,71,13,13,6,0,0,2,53,1,13,1,88,71,3,156
120121,LL ,School of Social Work ,Graduate ,208,31,177,0,139,8,28,13,0,0,5,15,0,31,2,177,31,10,198
120121,LL ,School of Social Work ,Undergraduate ,116,12,104,0,73,6,18,13,0,0,4,0,2,19,2,114,2,1,115
120121,LM ,Provost Academic Programs ,Graduate ,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2
120121,LN ,Online & Continuing Education ,Graduate ,88,25,63,0,63,6,10,3,1,0,0,0,5,10,1,4,84,76,12
120121,LN ,Online & Continuing Education ,Undergraduate ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0
120121,LP ,Library & Info Sci ,Graduate ,320,90,230,0,236,17,19,14,1,0,6,25,2,19,5,187,133,45,275
120121,NB ,Provost & VC Acad Affairs ,Undergraduate ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
