Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Part time,Full time
120191,KL ,"Agr, Cons, Env Sci ",Graduate ,660,280,379,1,349,23,17,31,0,0,11,221,8,19,4,0,34,250,410,141,519
120191,KL ,"Agr, Cons, Env Sci ",Undergraduate ,2577,1121,1454,2,1533,226,185,354,1,1,68,199,10,219,28,9,282,2239,338,114,2463
120191,KM ,Business ,Graduate ,3398,2089,1301,8,1432,623,169,217,2,3,55,613,284,209,33,5,821,954,2444,599,2799
120191,KM ,Business ,Undergraduate ,2921,1583,1337,1,1422,560,93,273,0,2,72,477,22,113,15,11,627,2189,732,94,2827
120191,KN ,Education ,Graduate ,1041,322,717,2,576,74,157,90,0,2,21,79,42,179,13,2,86,561,480,259,782
120191,KN ,Education ,Undergraduate ,597,70,527,0,377,58,30,93,0,1,18,19,1,42,8,1,67,558,39,10,587
120191,KP ,Engineering ,Graduate ,3958,3087,870,1,880,466,38,123,3,0,55,2147,246,57,22,5,710,457,3501,724,3234
120191,KP ,Engineering ,Undergraduate ,6810,5245,1563,2,2566,1869,101,445,2,6,238,1526,57,147,37,30,2089,3919,2891,484,6326
120191,KR ,Fine & Applied Arts ,Graduate ,772,353,419,0,341,43,26,49,0,0,18,290,5,42,12,1,52,200,572,90,682
120191,KR ,Fine & Applied Arts ,Undergraduate ,1617,728,888,1,769,214,119,230,0,2,62,214,7,148,24,10,266,1255,362,73,1544
120191,KS ,Graduate College ,Graduate ,49,29,20,0,20,3,2,2,0,0,1,21,0,3,0,0,3,19,30,8,41
120191,KT ,Media ,Graduate ,106,32,74,0,42,7,8,4,0,0,2,42,1,8,1,0,9,39,67,9,97
120191,KT ,Media ,Undergraduate ,996,354,642,0,607,84,74,108,1,0,38,78,6,91,10,4,111,875,121,56,940
120191,KU ,Law ,Graduate ,69,28,41,0,6,2,3,0,0,0,0,58,0,3,0,0,2,3,66,2,67
120191,KU ,Law ,Professional ,405,237,168,0,252,44,13,35,0,0,9,38,14,17,4,0,52,226,179,3,402
120191,KV ,Liberal Arts & Sci ,Graduate ,2379,1192,1187,0,873,130,51,183,1,1,62,1060,18,83,24,5,184,311,2068,124,2255
120191,KV ,Liberal Arts & Sci ,Undergraduate ,11733,5918,5812,3,4769,2258,770,1441,9,8,400,2024,54,948,120,67,2596,8749,2984,522,11211
120191,KW ,General Studies ,Undergraduate ,2312,1344,967,1,851,359,247,487,3,1,67,293,4,289,36,21,416,1948,364,8,2304
120191,KY ,Applied Health Sci ,Graduate ,310,105,205,0,180,18,22,23,1,0,7,56,3,24,4,0,23,152,158,35,275
120191,KY ,Applied Health Sci ,Undergraduate ,2036,684,1352,0,1068,297,248,298,0,4,75,40,6,297,20,16,354,1868,168,70,1966
120191,LC ,Veterinary Medicine ,Graduate ,82,27,55,0,41,6,1,2,0,0,3,29,0,3,1,0,8,18,64,8,74
120191,LC ,Veterinary Medicine ,Professional ,546,76,470,0,451,24,4,39,1,0,14,4,9,8,5,0,33,303,243,12,534
120191,LG ,Labor & Empl. Rel. ,Graduate ,208,61,147,0,84,18,32,18,0,0,7,47,2,35,1,0,24,124,84,6,202
120191,LL ,School of Social Work ,Graduate ,320,37,283,0,215,14,40,28,0,0,10,11,2,49,2,0,17,295,25,7,313
120191,LL ,School of Social Work ,Undergraduate ,250,34,216,0,140,15,22,58,0,0,13,2,0,30,7,1,19,240,10,3,247
120191,LN ,Center Innov in Teach Learn ,Graduate ,206,76,127,3,135,16,4,16,0,0,2,13,20,6,0,1,20,9,197,190,16
120191,LN ,Center Innov in Teach Learn ,Undergraduate ,61,39,19,3,12,16,3,5,0,0,5,0,20,4,0,1,21,15,46,61,0
120191,LP ,School of Information Sciences ,Graduate ,786,229,552,5,438,21,29,47,0,0,17,226,8,35,9,2,33,378,408,212,574
120191,LT ,Carle Illinois Medicine ,Professional ,31,16,15,0,8,15,2,2,1,0,0,0,3,2,2,0,15,4,27,0,31
120191,NB ,Provost & VC Acad Affairs ,Undergraduate ,2,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,0
