Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,URM,Illinois,Non-Illinois,Part time,Full time
120211,KL ,"Agr, Cons, Env Sci ",Graduate ,702,270,430,2,349,30,12,50,0,0,15,232,14,18,4,0,40,68,241,461,194,508
120211,KL ,"Agr, Cons, Env Sci ",Undergraduate ,2696,1201,1493,2,1533,237,177,518,2,1,66,142,20,224,29,11,293,730,2418,278,132,2564
120211,KM ,Business ,Graduate ,5802,3665,2120,17,2477,1020,276,418,5,12,101,382,1111,338,51,30,1092,776,1698,4104,2977,2825
120211,KM ,Business ,Undergraduate ,2844,1617,1226,1,1370,581,97,295,1,2,86,377,35,122,23,17,660,424,2238,606,123,2721
120211,KN ,Education ,Graduate ,1282,360,918,4,674,83,195,135,0,3,31,75,86,229,22,4,96,356,641,641,903,379
120211,KN ,Education ,Undergraduate ,637,75,562,0,393,56,43,107,0,1,20,14,3,53,11,3,72,160,603,34,10,627
120211,KP ,Grainger Engineering ,Graduate ,4587,3583,993,11,1051,578,56,157,0,0,77,2063,605,79,23,5,641,237,565,4022,1584,3003
120211,KP ,Grainger Engineering ,Undergraduate ,7300,5567,1732,1,2399,2127,101,534,0,5,255,1446,433,153,32,31,2364,707,3924,3376,1045,6255
120211,KR ,Fine & Applied Arts ,Graduate ,665,314,351,0,312,32,32,56,0,0,19,211,3,50,15,0,40,100,204,461,77,588
120211,KR ,Fine & Applied Arts ,Undergraduate ,1711,761,947,3,785,239,131,282,2,1,80,179,12,179,33,10,305,457,1374,337,114,1597
120211,KS ,Graduate College ,Graduate ,13,4,9,0,6,0,1,1,0,0,0,5,0,1,0,0,0,2,7,6,8,5
120211,KT ,Media ,Graduate ,142,39,103,0,52,7,20,8,0,0,6,41,8,23,2,1,10,32,46,96,21,121
120211,KT ,Media ,Undergraduate ,941,356,583,2,550,102,74,125,0,0,28,57,5,88,7,6,121,216,836,105,66,875
120211,KU ,Law ,Graduate ,85,42,43,0,1,0,3,0,0,0,0,81,0,3,0,0,0,3,4,81,2,83
120211,KU ,Law ,Professional ,403,211,192,0,234,43,20,40,0,0,13,30,23,27,3,1,53,68,218,185,5,398
120211,KV ,Liberal Arts & Sci ,Graduate ,2432,1238,1194,0,890,137,60,199,1,0,57,1068,20,93,30,3,183,285,314,2118,231,2201
120211,KV ,Liberal Arts & Sci ,Undergraduate ,11609,5784,5813,12,4547,2311,771,1657,2,2,415,1799,105,993,141,57,2646,2613,8844,2765,730,10879
120211,KW ,General Studies ,Undergraduate ,2009,1169,840,0,662,261,271,458,0,0,68,274,15,330,30,12,308,766,1672,337,18,1991
120211,KY ,Applied Health Sci ,Graduate ,344,125,219,0,178,21,37,35,0,0,7,65,1,38,4,1,27,75,183,161,52,292
120211,KY ,Applied Health Sci ,Undergraduate ,2032,673,1359,0,970,317,263,333,1,2,81,53,12,327,28,20,375,641,1863,169,69,1963
120211,LC ,Veterinary Medicine ,Graduate ,95,42,53,0,46,3,2,3,0,0,1,36,4,3,1,0,4,6,24,71,26,69
120211,LC ,Veterinary Medicine ,Professional ,523,73,450,0,431,20,5,48,1,0,13,3,2,8,4,0,31,58,310,213,2,521
120211,LG ,Labor & Empl. Rel. ,Graduate ,232,61,170,1,91,31,31,28,0,0,6,38,7,36,2,0,36,61,134,98,96,136
120211,LL ,School of Social Work ,Graduate ,394,54,339,1,242,18,52,58,0,0,9,12,3,65,7,0,21,118,351,43,219,175
120211,LL ,School of Social Work ,Undergraduate ,257,36,221,0,132,9,41,60,1,0,7,6,1,47,5,2,14,107,249,8,8,249
120211,LN ,Center Innov in Teach Learn ,Graduate ,248,94,153,1,162,17,11,16,0,1,4,3,34,11,2,1,20,29,3,245,242,6
120211,LN ,Center Innov in Teach Learn ,Undergraduate ,133,64,69,0,22,28,7,7,0,0,5,1,63,8,2,0,31,16,0,133,133,0
120211,LP ,School of Information Sciences ,Graduate ,964,307,652,5,514,40,54,63,1,0,15,271,6,62,9,1,49,127,446,518,454,510
120211,LP ,School of Information Sciences ,Undergraduate ,151,93,58,0,37,53,10,22,0,0,5,21,3,13,1,0,59,33,119,32,4,147
120211,LT ,Carle Illinois Medicine ,Professional ,108,61,47,0,39,39,6,6,1,0,10,0,7,9,5,2,46,20,16,92,0,108
120211,NB ,Provost & VC Acad Affairs ,Undergraduate ,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
