Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,International,Unreported Race,Illinois,Non-Illinois,Part time,Full time
120055,KL ,"Agr, Cons, Env Sci ",Graduate ,263,97,166,0,161,20,2,7,0,72,1,120,143,84,179
120055,KL ,"Agr, Cons, Env Sci ",Undergraduate ,298,104,194,0,199,31,39,18,0,6,5,280,18,170,128
120055,KM ,Business ,Graduate ,285,158,122,5,84,27,4,3,0,139,28,102,183,42,243
120055,KM ,Business ,Undergraduate ,594,331,263,0,361,96,22,22,1,83,9,480,114,241,353
120055,KN ,Education ,Graduate ,293,85,208,0,158,17,54,25,4,28,7,203,90,168,125
120055,KN ,Education ,Undergraduate ,117,13,104,0,86,16,9,4,0,1,1,110,7,26,91
120055,KP ,Engineering ,Graduate ,1136,942,194,0,428,95,12,21,3,571,6,205,931,424,712
120055,KP ,Engineering ,Undergraduate ,864,728,136,0,436,206,25,46,1,137,13,583,281,465,399
120055,KR ,Fine & Applied Arts ,Graduate ,259,116,143,0,155,22,6,12,1,59,4,108,151,127,132
120055,KR ,Fine & Applied Arts ,Undergraduate ,209,88,121,0,155,22,13,7,0,7,5,185,24,113,96
120055,KS ,Graduate College ,Graduate ,4,3,1,0,2,0,1,0,0,0,1,3,1,1,3
120055,KT ,Communications ,Graduate ,41,13,28,0,23,2,1,5,0,8,2,14,27,22,19
120055,KT ,Communications ,Undergraduate ,112,30,82,0,69,12,17,9,0,2,3,104,8,61,51
120055,KU ,Law ,Professional ,102,67,35,0,47,24,9,10,2,5,5,73,29,69,33
120055,KV ,Liberal Arts & Sci ,Graduate ,1247,703,544,0,622,89,35,37,2,453,9,211,1036,347,900
120055,KV ,Liberal Arts & Sci ,Undergraduate ,2445,1255,1188,2,1291,387,365,218,9,129,46,2149,296,1129,1316
120055,KY ,Applied Life Studies ,Graduate ,111,21,90,0,75,6,14,4,0,12,0,74,37,64,47
120055,KY ,Applied Life Studies ,Undergraduate ,299,127,172,0,192,13,73,16,0,3,2,268,31,100,199
120055,LC ,Veterinary Medicine ,Graduate ,25,7,18,0,15,3,2,1,0,4,0,8,17,10,15
120055,LC ,Veterinary Medicine ,Professional ,97,27,70,0,86,5,1,2,0,1,2,88,9,10,87
120055,LE ,Institute of Aviation ,Graduate ,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
120055,LE ,Institute of Aviation ,Undergraduate ,83,74,9,0,72,2,1,6,0,0,2,80,3,48,35
120055,LG ,Labor & Industrial Relns ,Graduate ,6,0,6,0,1,0,1,0,0,4,0,3,3,6,0
120055,LL ,School of Social Work ,Graduate ,196,18,178,0,144,6,26,14,0,1,5,179,17,19,177
120055,LM ,Provost Academic Programs ,Undergraduate ,2,1,1,0,1,0,1,0,0,0,0,1,1,2,0
120055,LN ,Continuing Education ,Graduate ,25,6,19,0,19,3,0,1,0,0,2,2,23,18,7
120055,LN ,Continuing Education ,Undergraduate ,2,1,1,0,1,1,0,0,0,0,0,1,1,2,0
120055,LP ,Library & Info Sci ,Graduate ,116,29,87,0,77,9,3,9,0,15,3,83,33,47,69
120055,NB ,Provost & VC Acad Affairs ,Undergraduate ,123,58,64,1,50,14,33,18,1,0,7,55,68,87,36
