Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,Illinois,Non-Illinois,Part time,Full time
120105,KL ,"Agr, Cons, Env Sci ",Graduate ,314,163,151,0,176,17,7,6,0,0,1,106,1,8,0,119,195,92,222
120105,KL ,"Agr, Cons, Env Sci ",Undergraduate ,267,109,158,0,176,21,31,15,0,0,5,16,3,32,1,240,27,125,142
120105,KM ,Business ,Graduate ,542,285,256,1,143,44,17,3,0,1,6,316,12,17,1,179,363,88,454
120105,KM ,Business ,Undergraduate ,514,293,221,0,279,93,23,30,0,0,5,84,0,23,0,383,131,167,347
120105,KN ,Education ,Graduate ,319,95,224,0,147,17,72,40,2,0,2,38,1,79,8,201,118,208,111
120105,KN ,Education ,Undergraduate ,30,1,29,0,21,2,5,2,0,0,0,0,0,6,0,30,0,13,17
120105,KP ,Engineering ,Graduate ,1265,1018,247,0,404,78,9,28,1,0,12,727,6,13,4,209,1056,350,915
120105,KP ,Engineering ,Undergraduate ,858,710,148,0,369,139,29,44,2,3,11,257,4,30,3,506,352,398,460
120105,KR ,Fine & Applied Arts ,Graduate ,207,93,114,0,135,10,9,7,1,0,2,43,0,10,2,83,124,115,92
120105,KR ,Fine & Applied Arts ,Undergraduate ,156,66,90,0,99,12,12,13,0,0,8,11,1,14,4,133,23,61,95
120105,KS ,Graduate College ,Graduate ,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
120105,KT ,Media ,Graduate ,33,12,21,0,14,1,3,5,0,0,2,7,1,4,0,18,15,14,19
120105,KT ,Media ,Undergraduate ,76,20,56,0,46,4,13,2,0,0,5,6,0,15,1,62,14,31,45
120105,KU ,Law ,Professional ,72,49,23,0,47,6,6,4,0,0,1,6,2,7,0,29,43,63,9
120105,KV ,Liberal Arts & Sci ,Graduate ,1282,674,608,0,621,91,39,71,4,1,21,413,21,49,17,237,1045,373,909
120105,KV ,Liberal Arts & Sci ,Undergraduate ,1941,1026,911,4,965,321,236,180,2,6,38,182,11,250,18,1666,275,765,1176
120105,KW ,General Studies ,Undergraduate ,206,123,82,1,93,37,39,10,0,0,3,23,1,40,0,159,47,84,122
120105,KY ,Applied Health Sci ,Graduate ,151,35,116,0,113,5,9,3,0,0,3,16,2,12,1,111,40,97,54
120105,KY ,Applied Health Sci ,Undergraduate ,379,154,225,0,227,38,73,30,0,1,4,4,2,75,2,342,37,112,267
120105,LC ,Veterinary Medicine ,Graduate ,37,17,20,0,16,1,1,3,0,0,0,16,0,1,0,15,22,17,20
120105,LC ,Veterinary Medicine ,Professional ,115,25,90,0,100,3,0,3,0,0,1,1,7,0,0,102,13,0,115
120105,LE ,Institute of Aviation ,Graduate ,4,3,1,0,1,1,0,0,0,0,0,2,0,0,0,0,4,3,1
120105,LE ,Institute of Aviation ,Undergraduate ,61,57,4,0,46,6,2,5,0,0,0,2,0,2,0,53,8,33,28
120105,LG ,Labor & Empl. Rel. ,Graduate ,17,4,13,0,3,1,1,0,0,0,0,12,0,1,0,5,12,16,1
120105,LL ,School of Social Work ,Graduate ,197,16,181,0,141,9,23,13,0,0,3,8,0,27,0,181,16,16,181
120105,LL ,School of Social Work ,Undergraduate ,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
120105,LN ,Continuing Education ,Graduate ,37,9,28,0,33,0,1,1,0,0,0,0,2,1,0,2,35,34,3
120105,LP ,Library & Info Sci ,Graduate ,157,37,119,1,107,11,12,10,0,0,3,10,4,13,1,103,54,69,88
120105,NB ,Provost & VC Acad Affairs ,Undergraduate ,47,20,27,0,22,9,5,7,0,1,3,0,0,8,2,31,16,34,13
