Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Part time,Full time
120145,KL ,"Agr, Cons, Env Sci ",Graduate ,339,161,178,0,182,14,7,24,1,0,3,106,2,11,2,0,16,125,214,133,206
120145,KL ,"Agr, Cons, Env Sci ",Undergraduate ,518,240,278,0,316,63,32,43,0,1,11,50,2,43,7,2,70,435,83,287,231
120145,KM ,Business ,Graduate ,610,327,282,1,136,50,23,10,0,0,2,384,5,23,3,0,50,204,406,97,513
120145,KM ,Business ,Undergraduate ,583,295,288,0,260,95,26,43,0,1,17,138,3,33,1,5,108,383,200,267,316
120145,KN ,Education ,Graduate ,458,110,347,1,246,25,87,43,2,3,9,30,13,100,7,3,29,286,172,258,200
120145,KN ,Education ,Undergraduate ,60,7,53,0,44,2,4,10,0,0,0,0,0,5,0,0,2,55,5,30,30
120145,KP ,Engineering ,Graduate ,1383,1065,318,0,347,70,13,42,3,0,12,890,6,16,6,2,82,193,1190,502,881
120145,KP ,Engineering ,Undergraduate ,1346,1090,256,0,426,260,45,67,2,1,26,515,4,50,8,4,282,644,702,692,654
120145,KR ,Fine & Applied Arts ,Graduate ,206,119,87,0,109,6,10,10,1,0,2,64,4,12,1,0,7,85,121,110,96
120145,KR ,Fine & Applied Arts ,Undergraduate ,200,76,124,0,105,25,9,14,0,0,3,42,2,12,1,0,28,139,61,121,79
120145,KS ,Graduate College ,Graduate ,39,14,25,0,27,4,0,1,0,0,1,5,1,1,0,0,4,28,11,31,8
120145,KT ,Media ,Graduate ,18,6,12,0,2,1,2,0,0,0,2,10,1,3,1,0,1,1,17,9,9
120145,KT ,Media ,Undergraduate ,140,44,96,0,91,12,11,6,0,0,3,16,1,12,2,0,13,111,29,68,72
120145,KU ,Law ,Graduate ,3,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,1
120145,KU ,Law ,Professional ,62,32,30,0,21,3,6,8,0,0,1,21,2,7,1,0,4,21,41,59,3
120145,KV ,Liberal Arts & Sci ,Graduate ,1243,636,607,0,583,84,21,70,4,2,21,442,16,29,17,4,100,196,1047,415,828
120145,KV ,Liberal Arts & Sci ,Undergraduate ,2425,1279,1146,0,1141,398,240,189,0,0,59,380,18,271,13,7,449,1876,549,1141,1284
120145,KW ,General Studies ,Undergraduate ,323,213,110,0,143,54,38,30,0,0,10,45,3,43,4,0,62,233,90,147,176
120145,KY ,Applied Health Sci ,Graduate ,111,22,89,0,73,3,13,6,0,0,0,15,1,13,0,0,3,81,30,37,74
120145,KY ,Applied Health Sci ,Undergraduate ,457,170,287,0,266,46,78,43,0,1,15,7,1,94,6,3,53,404,53,189,268
120145,LC ,Veterinary Medicine ,Graduate ,27,10,17,0,18,1,0,1,0,0,0,7,0,0,0,0,1,12,15,14,13
120145,LC ,Veterinary Medicine ,Professional ,126,27,99,0,99,1,3,1,1,0,0,0,21,3,1,0,1,97,29,5,121
120145,LE ,Institute of Aviation ,Undergraduate ,12,9,3,0,9,1,0,1,0,0,0,1,0,0,0,0,1,11,1,8,4
120145,LG ,Labor & Empl. Rel. ,Graduate ,9,2,7,0,1,1,1,0,0,0,0,5,1,1,0,0,1,2,7,7,2
120145,LL ,School of Social Work ,Graduate ,176,20,156,0,119,8,24,14,0,0,2,7,2,27,0,0,8,153,23,23,153
120145,LL ,School of Social Work ,Undergraduate ,13,4,9,0,8,0,1,1,0,1,0,1,1,1,0,1,0,10,3,5,8
120145,LN ,Center Innov in Teach Learn ,Graduate ,59,16,43,0,38,5,2,2,0,0,1,3,8,2,1,0,5,1,58,46,13
120145,LN ,Center Innov in Teach Learn ,Undergraduate ,57,25,31,1,30,2,2,3,0,0,2,4,14,2,2,0,3,0,57,47,10
120145,LP ,Library & Info Sci ,Graduate ,124,26,98,0,89,4,8,10,0,0,5,8,0,11,2,0,7,78,46,64,60
120145,NB ,Provost & VC Acad Affairs ,Undergraduate ,96,35,54,7,34,6,17,28,0,0,3,5,3,25,1,0,8,38,58,86,10
