Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,URM,Illinois,Non-Illinois,Part time,Full time
120225,KL ,"Agr, Cons, Env Sci ",Graduate ,434,161,271,2,185,15,6,41,0,0,10,174,3,11,2,0,25,50,133,301,195,239
120225,KL ,"Agr, Cons, Env Sci ",Undergraduate ,407,159,248,0,202,43,34,75,0,0,15,36,2,46,7,3,51,120,347,60,165,242
120225,KM ,Business ,Graduate ,4888,3118,1751,19,1963,876,210,326,4,10,78,722,699,251,39,22,933,589,1258,3630,2628,2260
120225,KM ,Business ,Undergraduate ,496,286,209,1,185,118,18,45,0,0,19,106,5,28,4,1,132,71,340,156,256,240
120225,KN ,Education ,Graduate ,655,174,478,3,379,41,83,70,0,0,15,31,36,98,12,1,52,161,312,343,412,243
120225,KN ,Education ,Undergraduate ,54,8,46,0,25,6,3,13,0,0,1,5,1,3,0,0,8,16,47,7,28,26
120225,KP ,Grainger Engineering ,Graduate ,2978,2229,734,15,575,382,43,104,0,1,36,1619,218,57,12,2,418,156,261,2717,1594,1384
120225,KP ,Grainger Engineering ,Undergraduate ,1371,1058,311,2,343,373,23,102,1,0,35,478,16,33,5,3,405,137,593,778,921,450
120225,KR ,Fine & Applied Arts ,Graduate ,219,82,137,0,85,7,10,13,0,0,1,103,0,10,1,0,9,23,59,160,133,86
120225,KR ,Fine & Applied Arts ,Undergraduate ,225,100,125,0,98,24,17,39,0,0,9,34,4,22,2,1,34,60,171,54,108,117
120225,KS ,Graduate College ,Graduate ,3,1,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,3,2,1
120225,KT ,Media ,Graduate ,95,27,68,0,36,10,9,9,0,0,2,20,9,9,0,0,12,18,35,60,20,75
120225,KT ,Media ,Undergraduate ,112,46,66,0,48,11,16,17,0,0,3,17,0,16,2,0,13,34,88,24,54,58
120225,KU ,Law ,Graduate ,4,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0
120225,KU ,Law ,Professional ,66,30,36,0,22,8,2,8,0,0,2,17,7,2,1,0,10,10,25,41,51,15
120225,KV ,Liberal Arts & Sci ,Graduate ,1496,707,789,0,515,84,45,142,0,0,38,662,10,72,18,2,114,202,154,1342,556,940
120225,KV ,Liberal Arts & Sci ,Undergraduate ,2260,1178,1080,2,722,465,194,264,1,0,76,514,24,249,23,7,514,498,1523,737,1127,1133
120225,KW ,General Studies ,Undergraduate ,424,288,136,0,111,70,58,40,1,2,15,123,4,67,7,6,81,112,255,169,216,208
120225,KY ,Applied Health Sci ,Graduate ,178,44,134,0,98,7,18,18,0,0,3,34,0,20,2,2,10,38,101,77,84,94
120225,KY ,Applied Health Sci ,Undergraduate ,477,196,281,0,218,69,90,59,0,0,25,13,3,112,4,3,81,166,400,77,177,300
120225,LC ,Veterinary Medicine ,Graduate ,63,29,34,0,23,0,1,2,0,0,2,30,5,1,2,0,0,5,5,58,25,38
120225,LC ,Veterinary Medicine ,Professional ,124,19,105,0,101,7,2,11,0,0,3,0,0,3,0,0,10,14,72,52,0,124
120225,LG ,Labor & Empl. Rel. ,Graduate ,114,26,86,2,51,14,10,20,0,0,2,16,1,11,3,0,17,30,57,57,33,81
120225,LL ,School of Social Work ,Graduate ,352,52,298,2,227,15,49,43,1,0,11,6,0,58,4,1,19,101,314,38,47,305
120225,LL ,School of Social Work ,Undergraduate ,35,6,29,0,16,3,8,5,0,0,1,2,0,9,0,0,4,14,33,2,9,26
120225,LN ,Center Innov in Teach Learn ,Graduate ,78,31,47,0,36,9,6,9,1,0,1,5,11,7,1,0,10,17,1,77,59,19
120225,LN ,Center Innov in Teach Learn ,Undergraduate ,128,51,74,3,38,13,5,12,0,0,3,11,46,9,0,0,15,19,0,128,113,15
120225,LP ,School of Information Sciences ,Graduate ,557,192,359,6,206,16,28,30,0,0,8,253,16,32,2,0,21,61,150,407,404,153
120225,LP ,School of Information Sciences ,Undergraduate ,54,36,18,0,9,18,1,5,0,0,0,21,0,2,0,0,18,6,23,31,31,23
120225,LT ,Carle Illinois Medicine ,Professional ,189,105,84,0,68,80,7,9,0,0,14,0,11,10,5,3,89,25,38,151,2,187
120225,NB ,Provost & VC Acad Affairs ,Undergraduate ,25,8,17,0,1,1,14,8,0,0,1,0,0,16,1,0,1,23,0,25,24,1
